user,location,coordinates,language,text,latitude,longitude,country
Yazowyy,,,,"RT @a_dawg_thoughts: it's always screw France, but today especially.. y'all really just hate Islam and Muslims don't you? Was the uni hijab…",,,
Am10Mary,Kuwait,,,"@faatemsh They give me Middle Ages vibes France statements (towards Islam) is a Joke, 
they be like u have the righ… https://t.co/otNGyOpaAX",47.61216588100007,29.355337252000027,KW
coolsandira,India,,,"Requesting Modi Government To Ban Shariat Law Of Islam - Save Innocent Muslims From Terrorism

#banshariat… https://t.co/whaHyw5FNS",79.44332654800007,23.379379735000043,IN
Swastikagrawa14,,,,@being_caravan Bas abhi Quran padhnea chod dea islam chod dea human ban jayegea,,,
C71778967,,,,"@nYoperaguy @WakaFlocka AC: ""is there a war between the west &amp; radical islam, or.."" 
DT: ""it [islam] is very radica… https://t.co/sxLyskfA73",,,
manibunny1,Hellas,,,"RT @agelaw_7: TIME TO TAKE OUR COUNTRIES BACK!! 
#BAN_ISLAM",22.000000000000057,39.00000000000006,GR
Falcon_AlHind,🍌Republic ,,,"-Macron with his ""Islam is in Criss"" &amp; ongoing crackdown on muslims mean 
- Trump with his ""Islam don't like me"" &amp;… https://t.co/cRu1vz13Km",-93.48080999999996,37.12626000000006,US
Hermioni77,,,,"RT @agelaw_7: TIME TO TAKE OUR COUNTRIES BACK!! 
#BAN_ISLAM",,,
agelaw_7,"Athens, GR",,,"TIME TO TAKE OUR COUNTRIES BACK!! 
#BAN_ISLAM https://t.co/Cpzty6sCzE",23.73640000000006,37.97614000000004,GR
GodfreydeSain,,,,RT @Bollocks_Dogz: This is why we must ban Islam now https://t.co/de3K0iuptD,,,
diTa_bEvu,"ಕರ್ನಾಟಕ, ಭಾರತ ಒಕ್ಕೂಟ",,,"RT @Indumakalktchi: Christianity and Islam treat women more rabid than any other religion. 

In fact the stake burning, feminism and Hindu…",77.66938000000005,13.06913000000003,IN
C71778967,,,,"AC: ""is there a war between the west &amp; radical islam, or.."" 
DT: ""it [islam] is very radical.. Its very hard to sep… https://t.co/KXXdOIYOWA",,,
C71778967,,,,"@Derkman37 @Resist2k18 @WakaFlocka AC: ""is there a war between the west &amp; radical islam, or.."" 
DT: ""it [islam] is… https://t.co/A83FYJ7fou",,,
eeecs_,"Tehran, Iran",,,"@layla_ah16 @IeaguesUnderSea @ZainabHrk sexualises islam &amp; expects to be let back in, no wonder she wants the frenc… https://t.co/hgNhNBD4cJ",51.42151000000007,35.694390000000055,IR
luminatus1,,,,"2nd Oct was Macrion's homeschool ban 
headlines

and his 'Islam in crisis all over the world ' and France will libe… https://t.co/S3hKC5aHm9",,,
Bryan700,San Francisco Bay Area,,,"Ban Islam, it is a Death Cult. https://t.co/HMdST5XrAJ",-122.39975053313142,37.62721604184602,US
Thatsmile5,,,,RT @DPBLPatriot: @Miami4Trump The ex-Muslims are telling us the truth. They should know better than anybody what Islam is. Ban Islam in the…,,,
canthama1,,,,"RT @WithinSyriaBlog: Today HTS media is attacking Paris and accusing its of waging a war on Islam and Prophet Mohamad AS, the group even is…",,,
pati35209192,black sea ,,,"RT @WithinSyriaBlog: Today HTS media is attacking Paris and accusing its of waging a war on Islam and Prophet Mohamad AS, the group even is…",35.00000000000006,43.00000000000006,TR
kambrone64,"Anh Chị Em,  Lên Đường",,,"RT @WithinSyriaBlog: Today HTS media is attacking Paris and accusing its of waging a war on Islam and Prophet Mohamad AS, the group even is…",-106.83193999999997,28.329350000000034,MX
BlackrockIntel,Cyberspace,,,"RT @WithinSyriaBlog: Today HTS media is attacking Paris and accusing its of waging a war on Islam and Prophet Mohamad AS, the group even is…",-4.0302299999999605,5.359610000000032,CI
