Datetime,Text,Label
5/27/2022 6:04,Semoga yang benci islam atau sering giring opini jelek tentang islam itu dikasih hidayah aamiin,0
5/27/2022 4:34,@Naollivia @MegaPKeliduan Tenggelamkan sampai dasar lautan. Manusia rasis dan benci Islam ðŸ‘‰ @MegaPKeliduan,0
5/27/2022 4:24,@whyoedee @NUgarislucu Boleh benci dg Islam tp jgn melesetkan kt takbir dong. Yg cerdas dikit. Itu kalimat suci yg mengagungkan sifat Allah SWT,0
5/27/2022 0:50," Aku mendukung abang karena papua jg saudara ku se NKRI... Tapi jika abang yg benci rasis, tetapi rasis ke partai islam atau yg berbau islam, dan aku adalah bagian dari yg abang bilang 1% itu…",0
5/26/2022 21:46,"@dyahwie @frsp_ Buat ngehina lah, dia kan benci Islam",0
5/26/2022 21:46,"Satu persatu akun2 kek @MegaPKeliduan yg rasis, benci partai islam mulai terseleksi dgn sendirinya. Pun didunia Nyata, tokoh2 mn yg peduli dgn islam, mn munafikun mulai terlihat jelas. 

Allah nuju ngabaladah (Allah sdg membersihkan) Indonesia. https://t.co/1oO6zBi4Aa",0
5/26/2022 21:25,"@Iqbalfas @f0rdd_ @FNazy14 @otterion @deadnervously kalo benci ya benci aja bang, ga butuh alasan apaÂ² lagi haha.
gw juga benci islam bang krna member agama itu lebih rendah daripada satanisme bang. Penganut sadisme tuh member islam. Potential psychopath",1
5/26/2022 21:24,"Gapernah sebelumnya tau doi ngapain aja sampe banyak yg benci. Di kompastv dia bilang:
- ngomentarin tentang islam harusnya gimana
- ngritik anies baswedan",0
5/26/2022 21:08," @rafajar8 @Adasaja92561423 @Hilmi28 @ustadabdulsomad Kenapa benci Somad karena dialah tipe bajingan bajingan yg merobohkan keagungan Islam, jauh dibanding Mbah Moen, Buya Hamka dan panutan panutan yg sebenarnya

Kalian muslim tolol Sampek ngidolaon ustad muka jelek yg mengumbar naluri birahi shg nikahin anak umur 19 thn",1
5/26/2022 20:27,"@herumeneutic disatu sisi,lu ngajak orang untk ikut mendukung memenjarakan si setan @ruhutsitompul .  disatu sisi lagi, lu benci amat khilafah dan sama partai islam yg notabene oposisi. sial lu..!!",0
5/26/2022 20:24,"@B_n1ng17 Benci PKS cuma Kedok aja. Aslinya benci yang anti LGBT, benci syariat Islam.",0
